CASE;QUESTNNR;AGREE;GENDER;AGE;AR;PBF_1;PBF_2;PBF_3;PBF_4;PRA_1;PRA_2;PRA_3;PRA_4;CNV_1;CNV_2;CNV_3;CNV_4;FIT_1;FIT_2;FIT_3;FIT_4;AQ_1;AQ_2;AQ_3;CBB_3;CBB_4;CBB_2;CBB_1;SN01;FINISHED;TIME_RSI
306;Cross_Buying;1;1;4;2;7;7;6;5;5;2;2;3;3;5;5;5;6;6;6;5;5;6;3;4;4;3;6;1;1;0,9
307;Cross_Buying;1;1;3;1;5;4;3;5;4;3;4;2;3;6;6;5;5;4;4;5;7;6;5;4;4;4;5;1;1;0,8
308;Cross_Buying;1;1;4;2;6;6;6;6;3;3;3;3;6;6;6;6;6;6;3;5;7;7;6;5;5;4;4;1;1;1,05
309;Cross_Buying;1;2;8;1;3;3;5;2;5;2;3;1;4;3;6;1;3;3;2;2;4;5;3;2;3;2;3;1;1;1
311;Cross_Buying;1;1;6;2;2;2;6;2;3;3;1;3;5;3;4;4;3;4;4;6;5;5;4;2;2;2;2;1;1;0,56
313;Cross_Buying;1;2;2;1;4;5;6;4;3;3;4;5;3;4;5;5;5;5;5;5;5;3;3;4;5;5;4;2;1;0,41
319;Cross_Buying;1;2;9;2;5;6;7;7;6;5;6;7;6;6;6;7;5;6;7;6;4;5;6;6;5;5;7;1;1;1,08
320;Cross_Buying;1;2;6;2;6;6;6;5;5;6;6;6;6;6;6;7;5;6;6;5;4;7;5;7;5;4;7;1;1;0,9
321;Cross_Buying;1;1;9;1;5;5;5;4;5;5;4;5;5;6;5;3;5;5;5;4;4;5;4;6;3;6;5;1;1;0,9
322;Cross_Buying;1;1;7;2;5;6;5;5;4;6;5;5;6;7;6;7;4;5;5;4;4;5;4;7;4;7;6;1;1;1,13
323;Cross_Buying;1;1;7;1;3;2;2;2;3;2;2;2;4;3;3;3;3;2;3;2;2;2;2;2;1;2;3;1;1;1,3
324;Cross_Buying;1;1;3;1;5;5;5;5;3;3;3;3;2;6;6;5;5;5;4;4;2;1;1;5;4;4;4;1;1;0,97
325;Cross_Buying;1;2;6;1;6;5;3;3;5;5;5;5;2;2;2;2;6;2;6;3;7;2;3;1;1;1;1;1;1;1,46
326;Cross_Buying;1;2;6;1;6;2;4;4;7;7;7;7;1;2;1;2;5;2;5;4;5;3;5;4;4;4;4;1;1;0,98
327;Cross_Buying;1;2;3;2;5;5;6;5;3;2;3;3;5;5;4;5;3;3;2;3;3;2;4;3;3;4;3;1;1;0,85
328;Cross_Buying;1;2;4;2;6;7;6;7;3;2;2;2;5;6;7;7;4;4;4;4;4;5;4;3;5;4;7;1;1;1,48
329;Cross_Buying;1;1;8;2;6;7;6;6;2;2;2;2;6;5;6;7;2;4;5;4;3;2;4;5;3;5;7;1;1;1,08
330;Cross_Buying;1;1;7;1;4;4;4;4;2;1;2;1;5;5;2;6;4;5;4;4;4;2;3;2;1;2;5;1;1;1,22
331;Cross_Buying;1;2;3;1;4;4;4;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,57
332;Cross_Buying;1;1;4;2;4;4;4;3;3;3;3;3;3;4;5;4;5;5;4;5;4;5;4;3;3;3;3;1;1;0,9
333;Cross_Buying;1;2;3;2;5;5;4;5;3;3;2;2;5;3;3;3;5;3;4;3;3;5;3;2;2;2;2;1;1;0,7
336;Cross_Buying;1;1;4;1;1;5;5;5;1;1;1;1;1;4;5;1;7;2;5;6;2;5;5;1;1;1;1;1;1;0,41
338;Cross_Buying;1;1;4;2;5;5;5;5;3;3;3;3;6;6;6;6;6;6;6;6;7;3;2;5;5;5;5;1;1;0,48
339;Cross_Buying;1;1;3;2;7;7;7;7;2;2;1;2;3;2;7;6;7;6;2;7;6;6;6;5;2;1;2;1;1;1,05
340;Cross_Buying;1;1;3;1;2;3;3;2;2;2;2;2;3;3;3;5;6;2;2;3;5;3;2;2;2;2;2;1;1;1,32
341;Cross_Buying;1;1;4;1;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;4;4;5;6;6;6;6;1;1;0,46
347;Cross_Buying;1;2;4;1;4;5;5;5;5;6;6;6;4;5;5;6;4;6;4;3;1;6;2;5;4;4;5;1;1;1,04
349;Cross_Buying;1;1;3;2;5;5;5;5;2;3;3;3;5;5;5;5;4;4;4;3;3;5;5;3;3;3;3;1;1;1,61
351;Cross_Buying;1;1;3;2;5;5;6;6;2;3;2;3;3;5;4;7;6;4;3;5;3;5;3;3;2;2;3;1;1;0,58
352;Cross_Buying;1;1;3;2;5;5;5;5;3;3;3;3;3;3;3;3;6;6;5;5;3;5;4;4;4;3;3;1;1;1,59
353;Cross_Buying;1;1;3;1;5;5;6;5;4;2;3;3;5;5;6;5;6;4;3;5;3;2;3;3;3;3;4;1;1;0,51
354;Cross_Buying;1;2;3;2;3;3;2;5;3;3;5;4;3;3;1;4;4;3;4;2;3;4;3;2;2;2;3;1;1;1,32
355;Cross_Buying;1;1;4;1;5;5;5;5;5;5;5;5;5;5;6;5;5;5;4;5;2;2;2;4;4;4;4;1;1;1,03
356;Cross_Buying;1;2;9;1;4;3;3;4;3;3;3;3;3;4;3;3;2;3;2;3;5;5;3;2;2;2;3;1;1;0,54
358;Cross_Buying;1;2;6;1;3;3;2;3;3;4;3;3;3;2;3;3;3;3;3;3;4;3;4;1;1;2;2;1;1;0,85
359;Cross_Buying;1;1;3;2;2;3;5;4;3;3;3;3;5;4;5;5;5;5;5;4;1;1;1;4;3;4;5;1;1;0,67
360;Cross_Buying;1;1;3;1;2;2;5;4;2;2;2;2;3;5;5;5;3;3;3;3;5;1;1;1;1;1;2;1;1;1,33
365;Cross_Buying;1;1;3;2;5;5;5;5;5;4;4;5;5;5;5;5;6;6;5;5;6;3;4;5;4;5;5;1;1;1,09
366;Cross_Buying;1;2;7;2;6;6;7;6;5;6;5;5;5;6;6;7;5;5;4;5;6;6;5;6;6;6;7;1;1;1,19
367;Cross_Buying;1;2;6;2;5;5;2;5;2;3;4;3;5;6;6;7;6;5;6;5;4;4;5;6;3;6;7;1;1;1,36
368;Cross_Buying;1;2;2;1;3;5;5;5;5;6;7;7;6;5;5;7;6;5;6;5;6;5;5;7;7;7;6;1;1;0,66
369;Cross_Buying;1;2;3;1;3;2;3;2;3;2;2;2;3;3;3;2;3;3;3;2;3;4;4;3;2;2;3;1;1;1,4
370;Cross_Buying;1;2;5;2;5;6;4;4;4;4;3;5;5;5;4;7;4;4;4;4;4;4;4;4;3;4;6;1;1;1,06
373;Cross_Buying;1;1;11;2;4;4;4;4;4;4;4;4;5;5;5;4;6;6;5;5;6;6;6;6;6;6;6;1;1;0,87
374;Cross_Buying;1;2;9;2;3;3;3;3;3;3;2;3;1;3;4;5;4;4;5;2;5;3;4;1;1;1;1;1;1;0,57
377;Cross_Buying;1;2;4;1;4;4;5;5;5;5;5;5;2;4;5;3;5;4;3;5;4;4;4;4;3;3;3;1;1;1,21
381;Cross_Buying;1;2;9;2;5;6;6;5;6;6;6;6;6;6;6;7;5;5;6;6;4;4;5;7;4;6;7;1;1;1,14
382;Cross_Buying;1;2;11;1;4;4;2;2;2;2;2;2;3;3;1;3;1;3;3;2;3;3;3;1;1;2;3;1;1;0,9
383;Cross_Buying;1;1;4;1;4;4;4;4;3;3;2;3;5;5;5;5;6;6;4;4;1;1;4;1;1;2;2;1;1;1,81
384;Cross_Buying;1;2;4;2;5;4;5;4;4;5;3;4;3;5;4;3;5;2;5;4;4;3;3;2;2;2;2;1;1;0,65
385;Cross_Buying;1;1;4;2;6;6;6;6;4;4;5;5;5;5;5;5;5;4;5;4;5;5;5;4;5;5;5;1;1;0,33
386;Cross_Buying;1;1;3;1;4;4;7;5;2;3;2;3;4;5;5;6;6;6;4;5;5;2;4;1;1;1;1;1;1;0,84
387;Cross_Buying;1;2;6;1;7;7;7;7;7;7;7;7;1;7;7;7;7;7;7;7;7;1;1;7;7;7;7;1;1;1,21
388;Cross_Buying;1;1;4;2;5;5;6;5;3;3;4;3;3;5;5;5;5;6;6;5;2;2;1;5;3;4;5;1;1;1,29
389;Cross_Buying;1;1;3;1;7;7;7;7;1;1;4;1;7;7;7;5;5;6;1;6;1;1;1;1;1;1;1;1;1;1,7
390;Cross_Buying;1;2;4;2;5;5;6;5;6;6;6;6;6;7;7;7;6;6;6;7;6;6;4;6;5;6;5;1;1;1,07
391;Cross_Buying;1;2;8;1;5;3;4;3;3;3;2;2;3;4;2;2;3;3;3;2;5;5;6;3;1;2;3;1;1;0,86
392;Cross_Buying;1;2;2;1;3;5;6;4;3;2;6;5;3;4;5;5;5;5;5;5;5;1;3;4;7;5;4;1;1;0,97
394;Cross_Buying;1;2;5;2;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;5;1;1;0,74
400;Cross_Buying;1;1;3;2;6;7;7;7;2;2;2;2;4;4;5;3;6;6;3;6;2;4;3;1;2;2;2;1;1;1,19
401;Cross_Buying;1;2;5;1;5;5;6;5;6;6;6;6;6;6;6;6;6;5;6;6;7;6;6;6;5;5;5;1;1;1,35
402;Cross_Buying;1;1;6;1;4;5;5;4;4;3;2;2;3;2;2;3;3;3;4;1;4;4;4;3;1;2;1;1;1;1,78
403;Cross_Buying;1;2;7;2;5;6;5;6;5;6;5;5;5;6;5;7;4;5;5;4;5;4;5;6;7;6;6;1;1;0,53
404;Cross_Buying;1;1;4;2;7;7;7;7;4;5;4;4;5;6;7;6;7;4;7;7;4;7;7;7;7;7;7;1;1;0,66
406;Cross_Buying;1;1;3;1;2;2;2;2;4;4;4;4;5;6;5;6;6;6;5;6;2;3;1;3;3;3;4;1;1;1,53
407;Cross_Buying;1;1;3;1;6;7;7;7;2;2;3;2;6;6;4;4;6;6;4;6;2;5;3;3;3;2;6;1;1;1,72
408;Cross_Buying;1;2;5;2;5;6;5;5;5;6;5;4;7;6;6;7;4;5;4;3;6;5;4;5;4;6;5;1;1;1,03
409;Cross_Buying;1;1;3;2;5;5;5;5;4;4;6;3;1;1;1;6;6;5;6;2;1;2;1;1;1;1;1;1;1;1,14
411;Cross_Buying;1;2;7;1;3;2;3;2;3;3;3;2;2;4;3;1;3;2;5;2;4;5;4;2;1;2;4;1;1;0,59
412;Cross_Buying;1;1;5;1;3;4;4;5;4;3;3;2;3;3;1;1;4;5;5;4;7;6;7;2;1;2;3;1;1;0,71
413;Cross_Buying;1;2;2;1;6;7;7;7;7;6;7;7;6;6;6;6;7;6;7;7;6;5;6;7;7;7;6;1;1;0,61
414;Cross_Buying;1;2;5;2;5;5;6;5;4;5;5;6;4;5;7;7;4;4;4;4;3;6;4;4;2;6;5;1;1;1,1
415;Cross_Buying;1;2;11;1;4;3;5;3;5;2;4;3;4;2;1;4;2;4;2;3;3;5;4;3;4;3;4;1;1;0,73
416;Cross_Buying;1;1;4;2;5;5;6;4;4;4;5;6;5;6;7;6;6;5;5;5;3;5;3;4;4;5;5;1;1;1,89
420;Cross_Buying;1;1;4;1;5;5;5;5;4;3;3;3;4;6;6;3;5;3;6;5;3;3;4;4;6;5;5;1;1;0,86
421;Cross_Buying;1;2;6;2;5;6;5;5;5;4;5;6;6;5;5;7;4;5;4;5;5;4;5;5;6;5;6;1;1;1,02
422;Cross_Buying;1;2;6;1;5;3;2;3;4;3;2;2;3;4;3;2;3;2;3;2;4;4;4;3;2;2;3;1;1;0,93
423;Cross_Buying;1;2;4;2;4;5;6;5;6;6;6;6;7;7;7;7;6;6;7;6;3;5;4;6;7;6;6;1;1;1,04
424;Cross_Buying;1;1;3;2;5;5;6;6;4;4;4;4;6;6;6;6;6;6;5;6;6;2;2;1;2;2;5;1;1;1,68
425;Cross_Buying;1;1;4;1;6;6;7;6;4;3;3;3;6;6;6;4;6;5;5;6;3;3;3;5;3;3;4;1;1;1,73
